time,from_id,source_type,source_community,to_id,target_type,target_community,text,event_type,monitoring_subtype,event_findings,event_id
2040-10-07 10:33:00,,,,,,,,Monitoring,surveillance,Reef Guardian sentinel repositioning to southern boundary. Neptune involvement noted as concerning. Will be tracking transfers and equipment movements.,Event_Monitoring_484
2040-10-07 10:37:00,,,,,,,,Monitoring,surveillance,Neptune's equipment claims check out - imaging devices and dive gear at eastern markers. Something still feels off about this operation.,Event_Monitoring_490
2040-10-08 08:21:00,,,,,,,,Monitoring,patrol activity,Harbor patrols confirm Mako's environmental sampling is legitimate. Increased vessel activity from V. Miesel Shipping near the reef documented.,Event_Monitoring_530
2040-10-09 08:12:00,,,,,,,,Monitoring,surveillance,"Specialized underwater concrete forms discovered in fragile crates. Harbor master mentioned 'deep water construction' multiple times, suggesting permanent structures at Nemo Reef beyond equipment installation.",Event_Monitoring_595
2040-10-09 10:20:00,,,,,,,,Monitoring,surveillance,Identified unauthorized deep-sea extraction equipment at Nemo Reef. Multiple executive personnel supervising from distance. Documenting evidence of container transfers between Neptune's team and unmarked civilian vessels.,Event_Monitoring_608
2040-10-09 10:44:00,,,,,,,,Monitoring,surveillance,increased vessel activity for Nemo Reef operations,Event_Monitoring_631
2040-10-10 09:32:00,,,,,,,,Monitoring,surveillance,"Container vessels observed at northwest perimeter (24°15'N, 81°48'W) loading coral samples and seabed materials.",Event_Monitoring_661
2040-10-10 10:47:00,,,,,,,,Monitoring,surveillance,Suspicious industrial equipment deliveries contradicting environmental closure claims observed around Nemo Reef,Event_Monitoring_678
2040-10-10 11:23:00,,,,,,,,Monitoring,patrol activity,Planning increased night patrols at eastern boundary markers due to information about tourism vessels,Event_Monitoring_688
2040-10-10 11:24:00,,,,,,,,Monitoring,surveillance,Suspicious extraction activities and industrial equipment deliveries contradicting environmental closure claims at Nemo Reef,Event_Monitoring_690
2040-10-10 05:00:00,,,,,,,,Monitoring,surveillance,"Evidence of concrete structures, V. Miesel's expansion plans, and unusual movement in the harbor",Event_Monitoring_704
2040-10-10 21:00:00,,,,,,,,Monitoring,patrol activity,Patrol of eastern quadrant scheduled. Night vision systems operational. Seeking vessel registration numbers for documentation.,Event_Monitoring_709
2040-10-11 08:07:00,,,,,,,,Monitoring,water quality testing,Two conservation vessels anchoring north of Nemo Reef using sonar equipment and taking water samples. Rare osprey spotted.,Event_Monitoring_716
2040-10-11 09:20:00,,,,,,,,Monitoring,surveillance,"EcoVigil questioning ROV delay, showing interest in Western quadrant while being redirected to northern quadrant",Event_Monitoring_752
2040-10-11 10:09:00,,,,,,,,Monitoring,surveillance,Equipment labeled 'Project Poseidon: Resource Extraction Phase'. Conservation vessels conducting environmental surveys but restricted from certain areas.,Event_Monitoring_766
2040-10-11 10:38:00,,,,,,,,Monitoring,water quality testing,Completed extensive sampling near Nemo Reef. Preliminary findings show normal water quality parameters with no significant environmental hazards detected. Full analysis available within hours.,Event_Monitoring_777
2040-10-12 08:59:00,,,,,,,,Monitoring,surveillance,12 vessels in east quadrant with heavy drilling equipment. Registration numbers documented.,Event_Monitoring_797
2040-10-12 09:24:00,,,,,,,,Monitoring,surveillance,Davis Rodriguez maintaining position with Mako at Nemo Reef. Operating under permit #CR-7844 while maintaining tourism appearance. Security team expected to arrive at 0600.,Event_Monitoring_803
2040-10-12 10:55:00,,,,,,,,Monitoring,surveillance,Documented vessel registrations show 7 unregistered boats at Nemo Reef. Equipment includes seabed drills and extraction pumps - clear mining preparation.,Event_Monitoring_829
2040-10-12 11:02:00,,,,,,,,Monitoring,surveillance,evidence of unregistered vessels and mining equipment,Event_Monitoring_835
2040-10-12 12:59:00,,,,,,,,Monitoring,surveillance,"Reef Guardian covering southeast quadrant for surveillance, requesting information about Port Authority vessel encounters for protest documentation",Event_Monitoring_856
2040-10-13 09:08:00,,,,,,,,Monitoring,surveillance,Detected multiple transmission clusters near west reef edge. Recording frequency patterns of encrypted communications. Able to triangulate source vessels.,Event_Monitoring_878
2040-10-13 12:22:00,,,,,,,,Monitoring,surveillance,"Unauthorized activity at Nemo Reef during closure - encrypted communications, equipment transfers, and fuel contamination",Event_Monitoring_900
2040-10-13 12:34:00,,,,,,,,Monitoring,water quality testing,"Need to gather additional evidence at Nemo Reef, including water sample collection and documenting vessel movements",Event_Monitoring_909
2040-10-13 12:36:00,,,,,,,,Monitoring,surveillance,Spotted what appears to be a music video shoot with lighting rigs and camera equipment on west reef. Unable to confirm details due to distance.,Event_Monitoring_911
2040-10-13 12:41:00,,,,,,,,Monitoring,patrol activity,"Unauthorized activity at Nemo Reef during closure, requiring patrol of western boundary to document vessel movements and equipment transfers",Event_Monitoring_917
2040-10-13 07:00:00,,,,,,,,Monitoring,surveillance,Conservation vessels moving equipment to the eastern side of Nemo Reef,Event_Monitoring_922
2040-10-13 13:20:00,,,,,,,,Monitoring,surveillance,EcoVigil positioning required. Western quadrant to remain completely restricted for 48 hours. Unauthorized conservation vessels near restricted zones to be monitored.,Event_Monitoring_929
2040-10-13 13:23:00,,,,,,,,Monitoring,surveillance,Western quadrant restriction confirmed for 48 hours. EcoVigil redirected north as instructed. Unauthorized vessel monitoring in place.,Event_Monitoring_932
2040-10-14 08:06:00,,,,,,,,Monitoring,drone surveillance,Conservation vessels deploying drones with cameras over Nemo Reef,Event_Monitoring_934
2040-10-14 08:34:00,,,,,,,,Monitoring,surveillance,"Conservation vessels being monitored. Delta-3 protocols active, tourism facade maintained.",Event_Monitoring_941
2040-10-14 08:34:00,,,,,,,,Monitoring,surveillance,"Conservation vessels being monitored. Delta-3 protocols active, tourism facade maintained.",Event_Monitoring_942
2040-10-14 08:40:00,,,,,,,,Monitoring,drone surveillance,"Port Authority blocking approach to Nemo Reef, requesting aerial drone documentation of activities during closure",Event_Monitoring_946
2040-10-14 09:04:00,,,,,,,,Monitoring,miscellaneous monitoring,Operation proceeding as planned. Equipment transfer completed at south dock. Maintaining tourism facade successfully. Need authorization for additional fuel allocation due to extended perimeter monitoring.,Event_Monitoring_957
2040-10-14 10:58:00,,,,,,,,Monitoring,miscellaneous monitoring,Music video shoot occurring with potential environmental impact and permit violations. Green Guardians HQ confirming need to investigate and continue monitoring water contamination levels.,Event_Monitoring_967
2040-10-14 11:32:00,,,,,,,,Monitoring,drone surveillance,Port Authority blocking approach to Nemo Reef. Attempting to coordinate with Sentinel for documentation. Need aerial footage of equipment and activities at Nemo Reef.,Event_Monitoring_971
2040-10-14 11:37:00,,,,,,,,Monitoring,surveillance,"Video production underway at Nemo Reef with performers, lighting rigs, and filming equipment visible. No environmental assessment was conducted before this commercial activity.",Event_Monitoring_978
2040-10-14 12:51:00,,,,,,,,Monitoring,miscellaneous monitoring,"Video evidence collected of environmental impacts at Nemo Reef, with ongoing monitoring for cleanup efforts as vessels depart",Event_Monitoring_995
2040-10-01 08:09:00,The Lookout,Person,1,The Intern,Person,1,"Hey The Intern, it's The Lookout! Just spotted a pod of dolphins near the eastern point this morning. They were so playful! If you're free this weekend, the migratory birds are starting to arrive too. Let me know if you want to join for some birdwatching!",Communication,,,Event_Communication_1
2040-10-01 08:10:00,The Intern,Person,1,The Lookout,Person,1,"Hey The Lookout, The Intern here! I'd absolutely love to join you for birdwatching this weekend! Those dolphins sound amazing. What time were you thinking? I'll bring my new binoculars that Mrs. Money helped me pick out.",Communication,,,Event_Communication_2
2040-10-01 08:13:00,Kelly,Person,1,Sam,Person,1,"Sam, it's Kelly! Let's meet at Sunrise Point at 7 AM for birdwatching. Bring your new binoculars and some water. I've heard there might be some rare shorebirds passing through this weekend. Can't wait!",Communication,,,Event_Communication_3
2040-10-01 08:16:00,The Intern,Person,1,Mrs. Money,Person,1,"Mrs. Money, it's The Intern. Just checking in to see what tasks you need help with today. Also, I'll be birdwatching with The Lookout this weekend. Should I reschedule if you need me for anything?",Communication,,,Event_Communication_5
2040-10-01 08:19:00,Mrs. Money,Person,1,Boss,Person,1,"Boss, it's Mrs. Money. I've reviewed our operational funding for the upcoming projects. Need to discuss allocation priorities before our meeting with The Middleman next week. Are you available tomorrow afternoon?",Communication,,,Event_Communication_6
2040-10-01 08:21:00,Boss,Person,1,Mrs. Money,Person,1,"Mrs. Money, this is Boss. I'm available tomorrow at 3 PM to discuss funding allocations. Bring the updated projections for our tourism ventures. We need to ensure everything looks legitimate before meeting The Middleman next week.",Communication,,,Event_Communication_7
2040-10-01 08:24:00,Mrs. Money,Person,1,Boss,Person,1,"Boss, Mrs. Money here. I'll bring the updated projections for tomorrow at 3PM. I've noted some interesting opportunities near Nemo Reef in our tourism portfolio. Should we discuss allocating additional resources there specifically?",Communication,,,Event_Communication_8
2040-10-01 08:26:00,Boss,Person,1,The Middleman,Person,1,"Middleman, this is Boss. I'd like to move our meeting forward to discuss some promising opportunities near Nemo Reef. My accountant has identified potential for expansion there. Can you meet earlier than planned?",Communication,,,Event_Communication_9
2040-10-01 08:29:00,The Middleman,Person,1,Boss,Person,1,"Boss, this is The Middleman. I can meet earlier as requested. Nemo Reef discussion is timely - I've noted increased interest in that area. Have some council updates that might benefit your expansion plans. When and where?",Communication,,,Event_Communication_10
2040-10-01 08:32:00,Boss,Person,1,The Middleman,Person,1,"Middleman, this is Boss. Let's meet tomorrow at 4PM at the usual spot by the marina. I'll bring the tourism portfolio with Nemo Reef projections. Curious about those council updates that might help our expansion.",Communication,,,Event_Communication_11
2040-10-01 08:34:00,The Middleman,Person,1,Boss,Person,1,"Boss, this is Middleman. I'll be at the marina tomorrow at 4PM. Just reviewed some council documents - there's a potential loophole in Nemo Reef protection zones we can discuss. I'll bring the relevant paperwork.",Communication,,,Event_Communication_12
2040-10-01 08:50:00,Serenity,Vessel,4,Mako,Vessel,2,"Ahoy, this is the luxury yacht Serenity. I've heard you're familiar with these waters. My owner is looking for premium diving spots. Heard about Nemo Reef, but understand it's restricted. Any comparable alternatives you could recommend?",Communication,,,Event_Communication_13
2040-10-01 08:52:00,Mako,Vessel,2,Serenity,Vessel,4,"Serenity, this is Mako. For premium diving comparable to Nemo Reef, try Azure Cove just 3 miles south. Less restricted, similar coral formations, and better visibility. We just documented excellent conditions there yesterday during our coastal survey.",Communication,,,Event_Communication_15
2040-10-01 08:53:00,Serenity,Vessel,4,Reef Guardian,Vessel,4,"Reef Guardian, this is Serenity. My owner is quite disappointed about Nemo Reef restrictions. Are there any special permits available for private vessels to access certain sections? We're willing to follow strict conservation guidelines.",Communication,,,Event_Communication_16
2040-10-01 08:59:00,Himark Harbor,Location,4,Mako,Vessel,2,Harbor Master to Mako. Confirming your 07:00 departure today with Remora for Sailors Team's reconnaissance. Please remember to return before sunset and maintain distance from protected marine areas. Safe journey.,Communication,,,Event_Communication_17
2040-10-01 09:02:00,Mako,Vessel,2,Davis,Person,2,"Davis, Mako here. Just completed documentation of our sites. Coral Point has excellent visibility but too exposed for filming. Dolphin Bay offers privacy but those currents will be challenging for equipment setup. Heading back to Himark as scheduled.",Communication,,,Event_Communication_20
2040-10-01 09:49:00,Boss,Person,1,Mrs. Money,Person,1,"Mrs. Money, this is Boss. After speaking with The Middleman, I'm confident about our Nemo Reef opportunity. He mentioned a potential loophole in protection zones. Let's discuss this during our 3PM meeting along with funding allocations.",Communication,,,Event_Communication_21
2040-10-01 09:52:00,Mrs. Money,Person,1,The Middleman,Person,1,"Middleman, it's Mrs. Money. I've prepared those financial projections we discussed. Particularly interested in your thoughts on that Nemo Reef loophole before my meeting with Boss tomorrow. Available to talk this evening?",Communication,,,Event_Communication_22
2040-10-01 09:55:00,Reef Guardian,Vessel,4,Serenity,Vessel,4,"Serenity, Reef Guardian here. I understand your disappointment, but Nemo Reef is strictly protected without special access permits. However, we can recommend several equally beautiful non-protected areas nearby. We're observing increased tourism pressure lately, which is why enforcement remains strict.",Communication,,,Event_Communication_24
2040-10-01 09:58:00,Serenity,Vessel,4,Himark Harbor,Location,4,"Himark Harbor, this is luxury yacht Serenity. We're planning to anchor for the evening. Can you confirm availability for a 120-foot vessel requiring premium berth services? My owner would appreciate any local recommendations for exclusive dining options as well.",Communication,,,Event_Communication_26
2040-10-01 09:59:00,Himark Harbor,Location,4,Serenity,Vessel,4,Himark Harbor to Serenity. Premium berth confirmed for your 120-foot vessel. Recommend 'The Pearl' for exclusive dining - waterfront views and renowned seafood. Harbor staff will assist with your berthing upon arrival.,Communication,,,Event_Communication_28
2040-10-01 10:43:00,Paackland Harbor,Location,4,Remora,Vessel,2,"Attention Remora, this is Paackland Harbor. We've observed your vessel approaching Nemo Reef's protected inner boundary. Please maintain appropriate distance from restricted zones as per maritime conservation regulations. Acknowledge receipt.",Communication,,,Event_Communication_30
2040-10-01 10:46:00,Remora,Vessel,2,Paackland Harbor,Location,4,"Paackland Harbor, this is Remora. Acknowledging your warning. We'll maintain proper distance from Nemo Reef's protected areas. Currently surveying locations with Rodriguez for Sailor Shifts Team's upcoming video shoot. Will respect all conservation regulations.",Communication,,,Event_Communication_32
2040-10-01 10:48:00,Paackland Harbor,Location,4,Oceanus City Council,Organization,4,"This is Paackland Harbor to Oceanus City Council. Reporting increased tourism vessel activity near protected areas, specifically Nemo Reef. Have issued standard reminders about conservation regulations. Recommend additional signage or patrol consideration for upcoming tourism season.",Communication,,,Event_Communication_35
2040-10-01 10:51:00,Oceanus City Council,Organization,4,Liam Thorne,Person,4,"Liam, this is Oceanus City Council. We've received reports from Paackland Harbor about increased tourism vessels near Nemo Reef. Please coordinate with harbor masters to enhance conservation patrols and consider temporary additional signage for protected areas.",Communication,,,Event_Communication_37
2040-10-01 10:53:00,The Middleman,Person,1,Mrs. Money,Person,1,"Mrs. Money, this is The Middleman. I can meet this evening to discuss the Nemo Reef loophole before your meeting with Boss. Council just flagged increased vessel activity there - perfect timing for our plans. 7PM at the cafe?",Communication,,,Event_Communication_39
2040-10-01 10:55:00,The Middleman,Person,1,Mrs. Money,Person,1,"The Middleman, it's Mrs. Money. 7PM at the cafe works perfectly. I'll bring those financial projections on the Nemo Reef opportunity. I've also identified potential funding sources that won't raise flags with regulators.",Communication,,,Event_Communication_40
2040-10-01 10:56:00,Liam Thorne,Person,4,Oceanus City Council,Organization,4,"Council, this is Liam Thorne. I've reviewed the Nemo Reef reports and am coordinating with harbor masters as requested. Will implement additional signage by tomorrow and increase patrols this weekend. Sending full action plan by end of day.",Communication,,,Event_Communication_43
2040-10-01 10:58:00,Oceanus City Council,Organization,4,Paackland Harbor,Location,4,"Paackland Harbor, this is Oceanus City Council. We've received your report and are taking action. Liam Thorne is coordinating additional signage installation tomorrow and increased patrols this weekend. Full action plan forthcoming. Thank you for your vigilance.",Communication,,,Event_Communication_45
2040-10-01 11:01:00,Paackland Harbor,Location,4,Reef Guardian,Vessel,4,"Reef Guardian, Paackland Harbor here. We're seeing increased tourism activity near Nemo Reef's protected zones. Please increase monitoring patrols in that area over the next 48 hours. Oceanus Council is adding signage tomorrow. Confirm when possible.",Communication,,,Event_Communication_48
2040-10-01 11:02:00,Marlin,Vessel,4,Himark Harbor,Location,4,"Himark Harbor, this is Marlin. Another day with half-empty nets while burning through fuel that costs double what it did last year. These new catch quotas are killing us local fishermen. Conservation sounds nice until families can't put food on the table.",Communication,,,Event_Communication_50
2040-10-01 11:03:00,Himark Harbor,Location,4,Marlin,Vessel,4,Himark Harbor to Marlin. We understand your concerns about the catch quotas. We've noted your feedback and will relay it to the Oceanus City Council at our next meeting. Is there anything else you need from harbor services today?,Communication,,,Event_Communication_51
2040-10-01 11:06:00,Marlin,Vessel,4,Oceanus City Council,Organization,4,"Oceanus City Council, this is Marlin. These new regulations are destroying our livelihood. Fuel costs doubled while catch limits halved. Five generations of my family fished these waters. Now we can barely break even. Please reconsider before there are no local fishermen left.",Communication,,,Event_Communication_53
2040-10-01 11:09:00,Oceanus City Council,Organization,4,Marlin,Vessel,4,"Marlin, this is Oceanus City Council. We hear your concerns about the fishing regulations. Let's schedule a community forum next week to discuss sustainable solutions that balance conservation needs with fishermen's livelihoods. Please confirm your availability.",Communication,,,Event_Communication_54
2040-10-01 11:10:00,Mako,Vessel,2,Remora,Vessel,2,Mako to Remora. How's visibility in your sector? We've documented good conditions at Azure Cove and challenging currents at Dolphin Bay. Planning to rendezvous at Himark's south dock at 16:00 as scheduled. Over.,Communication,,,Event_Communication_59
2040-10-01 11:40:00,Green Guardians,Organization,4,Reef Guardian,Vessel,4,"Reef Guardian, Green Guardians HQ here. We've noted increased tourism vessel activity near protected areas, especially around Nemo Reef. Please maintain extra vigilance over the next two weeks and report any regulation violations immediately.",Communication,,,Event_Communication_62
2040-10-01 12:26:00,Samantha Blake,Person,2,Sailor Shifts Team,Organization,2,"Hello Sailor Shifts Team, this is Samantha Blake. I've prepared the initial event coordination outline for your music video shoot. Please confirm the Nemo Reef location so I can secure proper permits and arrange necessary equipment rentals.",Communication,,,Event_Communication_64
2040-10-01 12:27:00,Glitters Team,Organization,1,Samantha Blake,Person,2,"Hi Samantha, Glitters Team here. We're confirming Nemo Reef as our primary location. We need permits for the northwest section specifically. Our reconnaissance showed optimal lighting conditions there. Please prioritize environmental compliance documentation.",Communication,,,Event_Communication_66
2040-10-01 12:29:00,Samantha Blake,Person,2,Oceanus City Council,Organization,4,"Hello Oceanus City Council, this is Samantha Blake. I'm submitting a permit application for a music video shoot at Nemo Reef's northwest section in two weeks. Could you please advise on specific environmental compliance requirements for this protected area?",Communication,,,Event_Communication_67
2040-10-01 12:34:00,Sentinel,Vessel,4,Green Guardians,Organization,4,"Green Guardians, this is Sentinel. While patrolling western boundary of protected areas, I've observed increased tourism vessel activity near Nemo Reef. Recommend discussing inconsistent enforcement at upcoming community meeting. Sending detailed water quality report separately.",Communication,,,Event_Communication_69
2040-10-01 12:37:00,Green Guardians,Organization,4,Horizon,Vessel,4,"Horizon, Green Guardians HQ here. We're seeing increased tourism activity near protected areas, particularly Nemo Reef. Please coordinate with Sentinel on the western boundary and document any regulation violations. Extra patrols requested for the next two weeks.",Communication,,,Event_Communication_72
2040-10-01 12:39:00,Horizon,Vessel,4,Sentinel,Vessel,4,"Sentinel, this is Horizon. Received coordinates from Green Guardians about increased tourism near Nemo Reef. I'll monitor the eastern boundary while you take western. Let's document any violations and compare notes at 1800 hours.",Communication,,,Event_Communication_76
2040-10-01 12:40:00,Sentinel,Vessel,4,Horizon,Vessel,4,"Horizon, this is Sentinel. Confirming western boundary patrol. Documented three tourism vessels approaching Nemo Reef's protected zones in the last hour. Will transmit coordinates and photographic evidence. See you at 1800 for debrief.",Communication,,,Event_Communication_79
2040-10-01 12:44:00,Green Guardians,Organization,4,Seawatch,Vessel,4,"Seawatch, Green Guardians HQ here. We need additional monitoring around Nemo Reef's southern boundary. Horizon and Sentinel have reported multiple tourism vessels crossing protected zones. Please coordinate patrol schedule with them for the next two weeks.",Communication,,,Event_Communication_85
2040-10-02 08:04:00,The Lookout,Person,1,Sam,Person,1,The Lookout here! Just spotted some rare sea turtles near Nemo Reef this afternoon. Magnificent creatures! Don't forget about our birdwatching trip tomorrow at 7 AM. The weather looks perfect for spotting those migratory species!,Communication,,,Event_Communication_87
2040-10-02 08:07:00,The Intern,Person,1,Mrs. Money,Person,1,"Mrs. Money, it's The Intern. I wanted to follow up on my earlier message about any tasks you need help with today. Also, The Lookout mentioned spotting sea turtles near Nemo Reef. Should we be aware of any conservation concerns there?",Communication,,,Event_Communication_89
2040-10-02 08:09:00,Mrs. Money,Person,1,The Intern,Person,1,"Intern, it's Mrs. Money. Yes, we're aware of conservation concerns at Nemo Reef. Those sea turtle sightings are precisely why we need careful financial planning. I'll need you to compile some public conservation reports for our records.",Communication,,,Event_Communication_90
2040-10-02 08:11:00,Mrs. Money,Person,1,The Intern,Person,1,"Intern, Mrs. Money here. Focus specifically on turtle migration patterns and protected breeding grounds in the Nemo Reef conservation reports. Also gather any information about current protection zone boundaries and recent enforcement actions. This is critical for our meeting tomorrow.",Communication,,,Event_Communication_91
2040-10-02 08:13:00,The Intern,Person,1,The Lookout,Person,1,"Hey The Lookout, The Intern here! Just finished gathering those conservation reports for Mrs. Money. Looking forward to our birdwatching tomorrow at 7 AM. Quick question - how close were those sea turtles to shore when you spotted them?",Communication,,,Event_Communication_92
2040-10-02 08:15:00,The Lookout,Person,1,Sam,Person,1,"The Lookout here! Those sea turtles were pretty close to shore, maybe 50 yards out from Nemo Reef. Unusual to see them so close! Don't forget your sunscreen tomorrow - forecast says it'll be bright. See you at Sunrise Point!",Communication,,,Event_Communication_94
2040-10-02 08:50:00,Haacklee Harbor,Location,2,Osprey,Vessel,2,Haacklee Harbor responding to Osprey inquiry. We have three vessels available for charter this week. Noticed you were redirected from Mako's crew? Interesting how many vessels are asking about eastern waters lately. Let me know your requirements.,Communication,,,Event_Communication_95
2040-10-02 08:52:00,Osprey,Vessel,2,Mako,Vessel,2,"Mako, this is Osprey. Wondering if you're available for charter tomorrow for a group of tourists wanting to explore the bay area? I was redirected from your crew to Haacklee Harbor, but would prefer working with you.",Communication,,,Event_Communication_97
2040-10-02 08:54:00,Mako,Vessel,2,Himark Harbor,Location,4,"Himark Harbor, this is Mako. We'll remain docked at slip #14 today. Davis and the Sailors team departed at 0600 for city offices to file special event paperwork. Vessel is undergoing routine maintenance until their return.",Communication,,,Event_Communication_99
2040-10-02 08:56:00,Himark Harbor,Location,4,Oceanus City Council,Organization,4,Himark Harbor to Oceanus City Council. Daily report: Minimal vessel activity today. Mako and Remora remain docked. Sailors Team representatives traveled to City Hall for event permission paperwork. Marlin has expressed concerns about catch quotas affecting local fishermen.,Communication,,,Event_Communication_100
2040-10-02 08:59:00,Oceanus City Council,Organization,4,Samantha Blake,Person,2,"Samantha, this is Oceanus City Council. Regarding your Nemo Reef permit application - filming in protected areas requires special environmental assessment. Please attend our office hours tomorrow to discuss alternatives, as northwest Nemo Reef has recently received heightened protection status.",Communication,,,Event_Communication_102
2040-10-02 09:02:00,Samantha Blake,Person,2,Sailor Shifts Team,Organization,2,"Hi Sailor Shifts Team, Samantha Blake here. The City Council has concerns about Nemo Reef's northwest section due to heightened protection status. I'm meeting with them tomorrow to discuss alternatives. Will update you after the meeting.",Communication,,,Event_Communication_103
2040-10-02 09:59:00,Green Guardians,Organization,4,EcoVigil,Vessel,4,"EcoVigil, this is Green Guardians HQ. We're documenting multiple protected zone violations at Nemo Reef. Please coordinate with Horizon to establish a monitoring station at the eastern boundary for the next week. Send daily reports directly to headquarters.",Communication,,,Event_Communication_106
